"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"BOULDER","Amazing Gift","Woods Lake","Unknown Sector","Tahoe (CA)","US","2019-04-30T00:00:00Z","rp",,"3","0","0","null","7B+",,"sent it in the baking sun. good line.","null","0","null"
"BOULDER","Rainbird","Rainbow","Unknown Sector","Tahoe (CA)","US","2019-04-30T12:00:00Z","rp",,"2","0","35","null","7A+",,"hard topout","null","0","null"
"BOULDER","Blackmail","Castle Peak","Upper Castle","Tahoe (CA)","US","2019-04-30T12:00:00Z","f",,"3","0","1","null","7A",,"i’m terrible at flashing boulders. can’t even flash v6. took 30 min to send a v5 recently. and i flashed this. should tell you something about the grade.","null","0","null"
"BOULDER","Skeeter Glen","Castle Peak","Upper Castle","Tahoe (CA)","US","2019-04-30T12:00:00Z","rp",,"4","0","100","null","7B+",,"one of the best at castle peak.","null","1","null"
"BOULDER","Fujiyama Sit","Erratica","Unknown Sector","Tahoe (CA)","US","2019-04-30T12:00:00Z","rp",,"4","0","100","null","7B+",,"beautiful climb. unique movement.","null","1","null"
"BOULDER","Hyperkinetic","Donner Summit","White Lines","Tahoe (CA)","US","2019-04-30T12:00:00Z","rp",,"2","0","35","null","7B+",,"meh. crimpy. soft. not my favorite.","null","0","null"
"BOULDER","Integrity","Mountain Beavers","Unknown Sector","Tahoe (CA)","US","2019-05-01T00:00:00Z","rp",,"4","0","35","null","7C",,"first of the grade. rare movement. unique. taught me how to shuffle up a double arete.","null","1","null"
"BOULDER","Crimps of Wrath","Castle Peak","Middle Castle","Tahoe (CA)","US","2019-05-01T00:00:00Z","rp",,"5","0","100","null","7C",,"amazing move to the sloper. unique and pure. one of the best at castle peak.","null","1","null"
"BOULDER","Flying Silver","Toltec Boulder","Unknown Sector","Tahoe (CA)","US","2019-05-01T00:00:00Z","rp",,"4","0","100","null","7C",,"great linkup on a great boulder. sloper arete into a hard and condition dependent finish.","null","0","null"
"BOULDER","Golden Eagle","Toltec Boulder","Unknown Sector","Tahoe (CA)","US","2019-05-01T00:00:00Z","rp",,"3","0","100","null","7C",,"another good linkup. toltec boulder has too many good lines.","null","0","null"
"BOULDER","Hotos and Hand Tools","Castle Peak","Lower Castle","Tahoe (CA)","US","2019-05-01T00:00:00Z","rp",,"2","0","35","null","7B+",,"good rock, mediocre boulder.","null","0","null"
"BOULDER","Endless Summer","Castle Peak","Upper Castle","Tahoe (CA)","US","2019-05-29T00:00:00Z","rp",,"3","0","35","null","7A+",,"not my favorite problem. pumpy. but technical in some sense, teaches you how to shuffle your heel upward with toe hooks and smart energy usage. i found it pretty tough.","null","0","null"
"BOULDER","Fat Man in a Little Coat","Burnside Lake","Unknown Sector","Tahoe (CA)","US","2019-05-31T00:00:00Z","rp",,"3","0","0","null","7C",,"sharp. found a left toe hook unlocked it for me.","null","0","null"
"BOULDER","Blitzenator","Blitzen Boulder","Unknown Sector","Tahoe (CA)","US","2019-05-31T12:00:00Z","rp",,"2","0","35","null","7B+",,"slab dyno, definitely not v9. but fun nonetheless.","null","0","null"
"BOULDER","Enter the Dragon","Highway 20","Unknown Sector","Tahoe (CA)","US","2019-05-31T12:00:00Z","rp",,"3","0","35","null","7B+",,"tricky heel. fun climbing. subtle.","null","0","null"
"BOULDER","Nazgul","Saddle Boulders","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"4","0","35","null","7C",,"one hand on the undercling. amazing line. good times with michal, josh, vishaal. gotta go back for the lower start.","null","1","null"
"BOULDER","White Lines","Donner Summit","White Lines","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"5","0","100","null","7B+",,"after a year of climbing outside, i now understand why this one is so classic. perfect rock quality, tricky movement, and just a little heady.","null","1","null"
"BOULDER","Space Race","Lost In Space","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"3","0","35","null","7A+",,"tough first move","null","1","null"
"BOULDER","Pimp Juice","Pie Shop","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"4","0","100","null","7C",,"sharp and a bit of a one move wonder. but still a classic, iconic line in Tahoe. used a high left foot, the slab felt easy.","null","1","null"
"BOULDER","Fresh Tips","Soda Springs","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"4","0","25","null","7B+",,"straightforward crimp line. really fun.","null","1","null"
"BOULDER","Hobo","Saddle Boulders","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"4","0","35","null","7B+",,"another saddle classic. there’s a good edge on the very top of the lockoff pinch that made the final section easy for me.","null","0","null"
"BOULDER","Nietzsche Girls","Saddle Boulders","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"2","0","35","null","7C",,"pretty meh. one hard lockoff, lowball, long foot tension. felt soft.","null","0","null"
"BOULDER","Maverick Renegade","Coldstream Canyon","Lower Tier","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"3","0","35","null","7C",,"quick session. felt like soft v8 to me. might be a style thing. pretty mediocre.","null","0","null"
"BOULDER","Nitiri","Saddle Boulders","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"4","0","35","null","7C",,"from the sit, which doesn’t add much. awesome undercling perch. rad lurp our to the small edge. that left hand crimper felt very condition dependent.","null","1","null"
"BOULDER","Sierra Pinstripe","Coldstream Canyon","Upper Tier","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"5","0","100","null","7C",,"i really enjoyed this one. breathtaking location, climbs wonderfully. in retrospect, it was a pretty special tick for me. somehow pulled it off at the end of the day with Karsten and Vishaal. In my opinion, one of the best at coldstream, and one of the best at the grade in tahoe.","null","1","null"
"BOULDER","Camel Toe","The Beavers","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"4","0","100","null","7C",,"took me several sessions at the time. crimpy. used a far left toe for the crux cross into the slot. a milestone tick for me, but in retrospect, soft.","null","0","null"
"BOULDER","Kids These Days","Coldstream Canyon","Lower Tier","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"4","0","35","null","7B+",,"a good one. not hard, but beautiful and proud. good times with Karsten and Vishaal.","null","0","null"
"BOULDER","The Gerbiler","Lost In Space","Unknown Sector","Tahoe (CA)","US","2019-06-01T00:00:00Z","rp",,"2","0","20","null","7B+",,"toe hooks. dabby. meh.","null","0","null"
